,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
fwd_urg_flags,0.0,0.0,0.0,0.0,1.3155196938896552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwd_urg_flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fwd_header_length,0.0005657822723151185,0.0,0.0,0.0033408354967832564,0.00024490554351359607,0.000721827894449234,0.0016920767724514008,0.0007900872267782688,0.18557176291942595,0.014567906595766544,0.0,0.000141150935087353,0.13322145491838455,0.0,0.01763843707740307
bwd_header_length,0.11308957636356354,0.02254456579685211,0.00519102627877146,0.003886548022273928,0.02677907682955265,0.011436158698052168,0.014748705178499221,0.7392215490341186,0.43716780841350555,0.00413294667378068,0.0009469818673096597,2.468309450149536,0.008785785222426058,0.0008539237082004547,0.00283069780562073
fwd_packets/s,0.02476596236228943,0.07554804012179375,0.13161472529172896,0.25014657974243165,0.21120100915431977,0.3266451179981232,0.24995376989245416,0.12907615900039673,0.0,0.15270618498325347,0.11756949573755264,0.32950830161571504,0.07112784162163735,0.2150202587246895,0.06038234084844589
bwd_packets/s,0.048688121140003204,0.06349089965224267,0.05407326892018318,0.12785281166434287,0.6721351385116577,0.9397882871329785,0.12081101834774018,0.6954311490058899,0.007981186360120773,0.24045975804328917,2.033223009109497,0.37773621678352354,0.19737913608551025,0.6917620480060578,0.08982319310307503
min_packet_length,0.035110336355865,0.0033921874826774003,0.04959218129515648,0.0025463748490437864,0.07617011964321137,0.03598223030567169,0.056126230582594874,0.09769341051578521,0.0,0.6940820813179016,0.0017439342744182795,0.013489901809953153,0.001955458614975214,0.0,0.0
max_packet_length,0.10563825815916061,0.007384834252297879,0.0038166535552591084,0.08667051792144775,0.0268840990960598,0.185150808095932,0.23891952335834504,2.04368941783905,0.2893535107374191,0.1953664094209671,0.003790640365332365,1.8803812265396118,0.20158781707286835,0.10773613154888154,0.10812924057245255
packet_length_mean,0.06883894950151444,0.7329943656921387,0.24586453139781952,0.04977415129542351,0.10832895785570144,0.04724198654294014,0.05682561956346035,0.026894522830843925,0.34473355412483214,0.10090328380465508,0.1509062170982361,0.02829471221193671,0.012085873633623123,0.15717645464465022,0.022748272120952606
packet_length_std,0.11213692128658295,0.04359103981405497,0.009880630765110254,0.010297871194779873,0.11047315746545791,0.12249624282121659,0.5129750013351441,0.11819835752248764,0.3960497662425041,0.21297974288463592,0.694808030128479,0.07156488746404648,0.011468251701444387,0.1093380369246006,0.00322252216283232
